강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
코딩&파이썬 프로그래밍,기본적인 문법익히기와 AI모델 구현하기,성인,오프라인,"충청남도 천안시 서북구 봉정로 339, 2층",충청남도 천안시청,고급,https://www.cheonan.go.kr/lll/index.do
Chat gpt심화 2,효과적인 Chat gpt활용방법,성인,오프라인,"충청남도 천안시 서북구 봉정로 339, 2층",충청남도 천안시청,중급,https://www.cheonan.go.kr/lll/index.do
Chat gpt심화 1,효과적인 Chat gpt활용방법,성인,오프라인,"충청남도 천안시 서북구 봉정로 339, 2층",충청남도 천안시청,중급,https://www.cheonan.go.kr/lll/index.do
Chat gpt기본,기본적인 Chat gpt사용방법,성인,오프라인,"충청남도 천안시 서북구 봉정로 339, 2층",충청남도 천안시청,초급,https://www.cheonan.go.kr/lll/index.do
Chat gpt활용 글짓기,Chat gpt기술로 문학작품 활용,성인,오프라인,"충청남도 천안시 서북구 봉정로 339, 2층",충청남도 천안시청,중급,https://www.cheonan.go.kr/lll/index.do
디지털생활문해교육,"디지털생활문해교육(AI,디지털 기기 활용 등)",정선군민,오프라인,"강원특별자치도 정선군 정선읍 녹송2길 26, 3층",정선군평생학습관,초급,https://edu.jeongseon.go.kr
생활 속 다양한 AI·디지털활용,AI 도구를 활용하여 생활에 필요한 정보를 쉽고 빠르게 검색하는 방법을 배우는 실습 중심 수업입니다.,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,초급,https://bwb.chuncheon.go.kr/
AI 미디어콘텐츠 활용,AI라는 똑똑한 도구를 제대로 이해하고 다양한 AI 도구를 활용하여 미디어콘텐츠를 제작하고 편집하는 종합과정을 학습한다,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
AI 창작 영상콘텐츠,AI를 융합한 영상콘텐츠 만드는 방법을 학습하여 창의적 영상컨텐츠의 제작 능력을 키우는 과정,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
[주말] AI와 함께하는 스마트 라이프,본 강좌는 AI를 처음 접하는 분들도 컴퓨터 및 스마트폰을 활용하여 곧바로 따라 할 수 있도록 기초부터 차근차근 안내하는 실습 중심의 교육,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,초급,https://bwb.chuncheon.go.kr/
[야간] 직장인 AI활용 업무 스킬업,무료 AI 도구와 구글을 활용해 문서·PPT·엑셀·이미지·영상 등 업무 산출물을 빠르고 효율적으로 제작하며 생산성을 높이는 직장인 실무 중심 과정,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
AI를 활용한 콘텐츠 제작,"본 강좌는 AI 도구를 활용해 이미지, 영상, 숏폼 콘텐츠를 직접 제작할 수 있도록 돕는 실습 중심 수업이다.",춘천시민,온라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
"AI실전 이미지, 음악, 컨텐츠 제작",인공지능 작동 원리와 인공지능의 학습기법 이해,춘천시민,온라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
"AI실전 이미지, 음악, 컨텐츠 제작",인공지능 작동 원리와 인공지능의 학습기법 이해,춘천시민,온라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
AI 창작 영상콘텐츠,AI를 융합한 영상콘텐츠 만드는 방법을 학습하여 창의적 영상컨텐츠의 제작 능력을 키우는 과정,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
[주말] 챗GPT기초 및 활용,챗GPT의 기본사용법을 배우고 다양한 활용방법에 대해 배운다.,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,초급,https://bwb.chuncheon.go.kr/
[주말] 챗GPT기초 및 활용,챗GPT의 기본사용법을 배우고 다양한 활용방법에 대해 배운다.,춘천시민,오프라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,초급,https://bwb.chuncheon.go.kr/
"AI실전 이미지, 음악, 컨텐츠 제작",인공지능(A.I) 작동원리와 인공지능의 학습기법을 이해,춘천시민,온라인,강원특별자치도 춘천시 퇴계농공로 40,강원특별자치도 춘천시평생학습관,중급,https://bwb.chuncheon.go.kr/
스포츠 빅데이터와 AI,데이터 활용 스포츠 교육,성인+청소년(12세이상),오프라인,경기도 하남시 감일순환로 181,하남시평생학습관,중급,https://hanam.gseek.kr/user/main
AI와 윤리,AI실습 및 AI와 관련된 윤리 교육,하남시민,오프라인,경기도 하남시 하남대로 732,하남시평생학습관,중급,https://hanam.gseek.kr/user/main
new 8주 단기특강) 생성형 AI 입문교실(초급반),실습 위주의 실전 감각 익히기,성인,오프라인,경기도 군포시 고산로 263,경기도 군포시평생학습원,초급,http://www.gunpocf.or.kr
new AI활용 블로그 마케팅(입문),AI를 활용해 블로그 주제 탐색부터 글쓰기 등,성인,오프라인,경기도 군포시 고산로 263,경기도 군포시평생학습원,초급,http://www.gunpocf.or.kr
ChatGPT Plus 심화과정,내 문서 경험을 지식으로 연결해 7주만에 GPT 1종 제작,성인,오프라인,경기도 군포시 수리산로 112,경기도 군포시 평생학습마을,고급,http://www.gunpocf.or.kr
생성형 AI 콘텐츠 크리에이팅,생성형 AI를 이해하고 충분히 활용함,성인,오프라인,경기도 군포시 고산로 263,경기도 군포시평생학습원,중급,http://www.gunpocf.or.kr
구글+AI 이미지영상편집+최신 AI서비스,인터넷의 다양한 서비스를 폭넓게 활용할 수 있도록 학습한다,성인,오프라인,경기도 군포시 고산로 263,경기도 군포시평생학습원,중급,http://www.gunpocf.or.kr
AI 게임 코딩 심화 3-6학년,초등 고학년 중급 코딩반,유초등,오프라인,경기도 군포시 고산로 263,경기도 군포시평생학습원,중급,http://www.gunpocf.or.kr
AI 게임 코딩 기본 1-6학년,초등 저학년 코딩,유초등,오프라인,경기도 군포시 고산로 263,경기도 군포시평생학습원,중급,http://www.gunpocf.or.kr
생성형 AI 콘텐츠 크리에이팅,인공지능의 이해/ 생성형 AI(텍스트 이미지 동영상 사운드) 실습/ 자동화 도구를 이용한 업무 자동화 실습,성인,오프라인,경기도 군포시 수리산로 112,경기도 군포시 평생학습마을,중급,http://www.gunpocf.or.kr
AI활용 우리 가족 유튜브 채널 만들기,스마트폰으로 사진영상 만들고 SNS올리기,성인,오프라인,경기도 군포시 수리산로 112,경기도 군포시 평생학습마을,중급,http://www.gunpocf.or.kr
구글+SNS+유튜브+최신AI서비스,인터넷의 다양한 서비스를 폭넓게 활용할 수 있도록 학습,성인,오프라인,경기도 군포시 수리산로 112,경기도 군포시 평생학습마을,중급,http://www.gunpocf.or.kr
AI를 활용한 이미지+숏폼영상 제작,생성형 AI를 활용하여 이미지편집과 숏폼영상을 제작할 수 있도록 학습,성인,오프라인,경기도 군포시 수리산로 112,경기도 군포시 평생학습마을,중급,http://www.gunpocf.or.kr
생성형AI와 친해지기 3.0,Chat GPT로 인공지능과 친해지기,성인,오프라인,경기도 군포시 수리산로 112,경기도 군포시 평생학습마을,초급,http://www.gunpocf.or.kr
"인공지능(AI) 콘텐츠 전문가 자격증(AI-POT 1,2급)",자격증,누구나,오프라인,경기도 시흥시 은행로 173번길 14,경기도 시흥시 평생교육원(대야평생학습관),고급,https://siheung.gseek.kr
AI와 함께하는 디지털세상,실용,누구나,오프라인,경기도 시흥시 은행로 173번길 14,경기도 시흥시 평생교육원(대야평생학습관),초급,https://siheung.gseek.kr
CHATGPT 활용하기(야간),실용,누구나,오프라인,경기도 시흥시 정왕대로233번길 21,경기도 시흥시 평생교육원(정왕평생학습관),중급,https://siheung.gseek.kr
"AI로 만드는 그림책, 출판지도사 자격과정(주말)",자격증,누구나,오프라인,경기도 시흥시 정왕대로233번길 21,경기도 시흥시 평생교육원(정왕평생학습관),중급,https://siheung.gseek.kr
챗GPT와 AI세상,AI+챗GPT,성인,오프라인,경기도 과천시 중앙로 28-1 (원문동문화교육센터),원문동문화교육센터,초급,https://www.gccity.go.kr/csc/contents.do?mId=0202010000
AI 활용교육,AI,지역주민,오프라인,경기도 과천시 별양로 60(별양동),별양동문화교육센터,중급,https://www.gccity.go.kr/csc/contents.do?mId=0302010000
챗GPT와 AI세상,AI+챗GPT,성인,오프라인,경기도 과천시 중앙로 28-1 (원문동문화교육센터),원문동문화교육센터,초급,https://www.gccity.go.kr/csc/contents.do?mId=0202010000
ChatGPT와 생성형 AI활용,ChatGPT와 생성형 AI활용 강의,안산시민,오프라인,경기도 안산시 단원구 대쟁이길 10,경기도 안산시청 평생학습과,중급,https://wm.ansan.go.kr/
"AI 활용, 1인크리에이터",AI 활용 크리에이터강의,안산시민 및 근로자,오프라인,경기도 안산시 단원구 동산로 63,경기도 안산시청 평생학습과,중급,https://wm.ansan.go.kr/
챗GPT와 생성형AI,챗GTP와 생성형 AI 강의,안산시민,오프라인,경기도 안산시 단원구 고잔로 28,경기도 안산시청 평생학습과,초급,https://wm.ansan.go.kr/
[남부] 처음 시작하는 AI 생활활용,일상속에서 쉽게 배우는  AI 활용 기초,지역주민+성인,오프라인,경기도 평택시 평택5로 220,경기도 평택시청 평생학습과,초급,https://www.pyeongtaek.go.kr/learning/
챗GPT와 AI활용,"일상과 업무에 바로 적용 가능한 Chat GPT 활용법을 익혀, 누구나 손쉽게 디지털 도구를 활용 할 수 있도록 한다.",18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
유튜브 크리에이터(AI 콘텐츠 제작),"유튜브 플랫폼을 이해하고 채널 기획 및 영상 콘텐츠 기획, 영상 제작, 내 채널 운영 및 분석, 관리 방법을 익혀 개인의 지식/정보를 영상으로 만들어 전파하고 지속적인 성장을 할 수 있도록 한다.",18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
AI를 활용한 사진편집과 동영상제작,스마트폰과 PC를 이용하여 이미지 편집 및 영상 제작 방법을 익히고 촬영한 사진 및 영상으로 나만의 스토리가 있는 콘텐츠를 제작 할 수 있다.,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
AI를 활용한 SNS콘텐츠 제작,AI를 활용한 SNS 콘텐츠 제작,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
AI를 활용한 SNS 콘텐츠 제작,AI를 활용한 SNS 콘텐츠 제작,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 동안구 동안로 153,경기도 안양시 동안평생학습센터,중급,http://learning.anyang.go.kr/DW
"AI를 활용한 엑셀, 파워포인트",업무에 필요한 엑셀과 파워포인트를 익히고 오피스 프로그램 2019의 특징을 익혀 실생활에 적용할 수 있는 문서 작성법을 익힙니다.,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
컴퓨터 첫걸음과 AI,"윈도우10을 컴퓨터를 효율적으로 사용할 수 있도록 하며, 인터넷 한글 문서 작성법을 익혀 실생활에서 컴퓨터를 활용",18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,초급,http://learning.anyang.go.kr/MW
스마트폰&AI로 블로그 만들기,SNS 블로그로 브랜딩,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
AI 활용과 영상제작,스마트폰의 활용도를 높여주고 이를 기반으로 영상 제작의 방법을 익힌다,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
AI와 함께하는 스마트 세상,"간단한 AI 도구를 직접 체험하며, 디지털 활용 능력을 향상시킵니다.",18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안평생학습센터,중급,http://learning.anyang.go.kr/MW
"챗GPT(AI활용), 한글, 엑셀, 파워포인트 기초","컴퓨터에 대한 기본지식을 학습하고, 한글문서 작성과 인터넷을 활용하여 정보를 검색하고 응용할 수 있도록 학습합니다.",18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 동안구 동안로 153,경기도 안양시 동안평생학습센터,초급,http://learning.anyang.go.kr/DW
"한글, 엑셀, PP, 챗GPT(AI) 업무자동화","업무에 필요한 한글과 엑셀, 파워포인트,쳇GPT 등의 사용법 익히기",18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 동안구 동안로 153,경기도 안양시 동안평생학습센터,고급,http://learning.anyang.go.kr/DW
챗GPT(AI)를 활용한 유튜브 크리에이터 되기,유튜브 크리에이터 되기,18세이상 안양 시민 및 관내 직장인,오프라인,경기도 안양시 동안구 동안로 153,경기도 안양시 동안평생학습센터,중급,http://learning.anyang.go.kr/DW
"생활속의 똑똑한 AI,스마트폰 활용법 완전정복",디지털 기기활용 강의 실습,지역주민,오프라인,울산광역시 동구 진성8길 91,울산광역시 동구청,초급,https://crs.donggu.ulsan.kr/index.jsp
스마트폰으로 활용으로 AI시대 적응하기,스마트폰 활용 강의 실습,지역주민,오프라인,울산광역시 동구 진성8길 91,울산광역시 동구청,초급,https://crs.donggu.ulsan.kr/index.jsp
스마트폰 사진작가,스마트폰 카메라기법에 AI기술을 더해 신중년의 일상을 예술로 승화하고자 함,중구민,오프라인,울산광역시 중구 중앙길 136,중구평생학습관,중급,http://www.junggu.ulsan.kr/edu/
스마트폰과 함께하는 AI동화만들기,스마트폰 AI를 활용해서 동화만들기,중구민,오프라인,울산광역시 중구 중앙길 136,중구평생학습관,중급,http://www.junggu.ulsan.kr/edu/
인공지능AI를 활용한 노래만들기,"인공지능 AI를 활용하여 노래가사 만들기, 음악스타일 설정하기, 배경음악 만들기",중구민,오프라인,울산광역시 중구 중앙길 136,중구평생학습관,중급,http://www.junggu.ulsan.kr/edu/
우주아빠와 함께하는 AI크리에이터,"AI도구를 활용하여 글, 이미지, 영상 등 콘텐츠를 직접 제작해봄",중구민,오프라인,울산광역시 중구 중앙길 136,중구평생학습관,중급,http://www.junggu.ulsan.kr/edu/
실전생성형AI활용,"다양한 생성형AI 도구를 일상과 업무에 활용하는 법 배우기(컴퓨터,스마트폰기초가능자)",지역주민,오프라인,대전광역시 유성구 유성대로626번길 57(구암동),대전광역시 유성구청,초급,http://lifelong.yuseong.go.kr/
생성형AI기초,"생성형AI 개념 이해와 기본 활용방법 익히기(chatgpt, 제미나이 등)",지역주민,오프라인,대전광역시 유성구 유성대로626번길 57(구암동),대전광역시 유성구청,초급,http://lifelong.yuseong.go.kr/
쉽게 배우는 생성형AI,대화형 인공지능 서비스 활용법 배우기,성인,혼합,대전광역시 서구 갈마중로 21 (갈마동 343-28),대전 서구 평생학습관,초급,http://www.seogu.go.kr/learning/
생성형 AI로 나만의 비서만들기,실생활에 꼭 필요한 AI 실전 활용방법 배우기,성인,혼합,대전광역시 서구 갈마중로 21 (갈마동 343-28),대전 서구 평생학습관,중급,http://www.seogu.go.kr/learning/
AI와 과학으로 보는 미래세상,"AI와 기술이 인간에게 어떤 의미가 될지, 그 속에서 우리가 놓치고 있는 것들을 함께 고민",서구민,오프라인,인천광역시 서구 서곶로 369번길 17,인천광역시 서구청,초급,http://www.seo.incheon.kr/open_content/main/part/education/class_lll_apply.jsp
"생성AI와 함께, 쉽게 만들어 보는 거정인형_점토공예","스마트폰 음성입력을 통해 생성형 AI와 쉽게 소통하며, 점토 인형 제작과 수호 문구 생성을 통해, 디지털 활용 역량을 강화하고 정서적 안정과 자존감 향상을 지원하는 시니어 맞춤 디지털 융합 교육 프로그램",서구민,오프라인,인천광역시 서구 서곶로 369번길 17,인천광역시 서구청,중급,http://www.seo.incheon.kr/open_content/main/part/education/class_lll_apply.jsp
[겨울특강] 생성형AI로 나만의 연말연시 콘텐츠 만들기,"chatGPT와 구글 제미나이를 활용해 나만의 인사말 문장과 아이디어를 만들어 보며, AI활용 방법을 자연스럽게 익히고, 캡컷 영상편집으로 콘텐츠 완성",서구민,오프라인,인천광역시 서구 서곶로 369번길 17,인천광역시 서구청,중급,http://www.seo.incheon.kr/open_content/main/part/education/class_lll_apply.jsp
챗GPT와 디지털을 활용한 크리에이터 되기,챗GPT의 기능을 활용하여 콘텐츠를 제작하고 크리에이터로서 동영상 촬영 및 편집방법 등을 익힌 후 블로그 등에서 활용하기,지역주민,오프라인,인천광역시 동구 금곡로 67,인천광역시 동구청,중급,https://www.icdonggu.go.kr/lll/
(동구 구민대학)AI를 활용한 콘텐츠 만들기,AI를 활용하여 나만의 콘텐츠 제작 교육,지역주민,오프라인,인천광역시 동구 재능로 178(재능관),인천광역시 동구청,중급,https://www.icdonggu.go.kr/lll/
생성 AI 활용하기,"인공지능(AI)의 개념을 이해하고, 플랫폼 별로 실생활에서 상황별 활용할 수 있는 방법 익히기",지역주민,오프라인,인천광역시 동구 금곡로 67,인천광역시 동구청,초급,https://www.icdonggu.go.kr/lll/
인공지능(AI)과 함께하는 문해교육(챗GPT),인공지능 및 챗GPT 의 정의를 이해하고 디지털세계를 경험해보기,지역주민,오프라인,인천광역시 동구 금곡로 67,인천광역시 동구청,초급,https://www.icdonggu.go.kr/lll/
[단기강좌]성인스마트폰정복하기 중급,스마트폰 설정부터 앱활용+사진촬영 및 편집+쳇GPT활용하기,지역주민,오프라인,대구광역시 수성구 국채보상로 1001 (만촌동),대구광역시 수성구청,초급,http://lll.suseong.kr
AI 영상제작 과정,나만의 뮤직비디오와 홍보영상 완성 실습,성인,오프라인,대구광역시 서구 문화로 160,대구광역시 서구청,중급,https://www.dgs.go.kr/portal/contents.do?mid=0401040000
AI 프롬프트 활용능력 2급 과정,"자격증 대비 반으로 강의 수강 후 자격시험 응시는 본인 선택, 주2회 수업",성인,오프라인,대구광역시 서구 문화로 160,대구광역시 서구청,중급,https://www.dgs.go.kr/portal/contents.do?mid=0401040000
AI 활용 교육 강사 양성 과정,"AI 활용 강사 양성 강좌로 시연 및 발표 수업, 불가자는 수강 제한",성인,오프라인,대구광역시 서구 문화로 160,대구광역시 서구청,중급,https://www.dgs.go.kr/portal/contents.do?mid=0401040000
생성형 AI와 함께하는 포토샵: 나만의 디자인 만들기,AI 관련 프로그램,강서구민,오프라인,부산광역시 강서구 명지국제11로 72,부산광역시 강서구청 평생교육과,중급,https://lll.bsgangseo.go.kr
AI 비서 만들기: 챗 GPT 실전 활용 클래스,AI 관련 프로그램,강서구민,오프라인,부산광역시 강서구 신호일로 60,부산광역시 강서구청 평생교육과,중급,https://lll.bsgangseo.go.kr
챗GPT 활용 똑똑한 프롬프트 사용법,명확하고 효과적인 프롬프트 사용법 학습 및 실습 등,사하구민 및 관내 직장인 등,오프라인,부산광역시 사하구 하신중앙로 185 5층,부산광역시 사하구청,중급,https://lll.busan.go.kr
AI를 활용하여 다시 그리는 인생 로드맵,AI를 활용한 제2의 인생설계 방법 학습,사하구민 및 관내 직장인 등,오프라인,부산광역시 사하구 하신중앙로 185 5층,부산광역시 사하구청,중급,https://lll.busan.go.kr
AI를 활용한 전자 그림책 만들기,AI를 활용한 자서전 및 삽화 제작 등의 방법 학습,사하구민 및 관내 직장인 등,오프라인,부산광역시 사하구 하신중앙로 185 5층,부산광역시 사하구청,중급,https://lll.busan.go.kr
변화하는 시대 맞춤 자기 관리 방법과 생활형 AI 활용법,AI활용으로 성인진로 자기계발 설계,사하구민 및 관내 직장인 등,오프라인,부산광역시 사하구 하신중앙로 185 5층,부산광역시 사하구청,중급,http://www.saha.go.kr/edu
생성형 AI와 허위 정보 구분하기,디지털 리터러쉬 수업으로 허위정보 구분하기,사하구민 및 관내 직장인 등,오프라인,부산광역시 사하구 사리로55번길 16 2층,부산광역시 사하구청,초급,http://www.saha.go.kr/edu
AI로 한 시간 일찍 퇴근하기: 노션 편,AI,성인,오프라인,"부산광역시 동구 초량중로 38, 3층",부산광역시 동구청 평생교육과,초급,
AI로 똑똑한 디자이너 되기 : 미드저니편,AI,성인,오프라인,"부산광역시 동구 초량중로 38, 3층",부산광역시 동구청 평생교육과,초급,
AI로 한시간 일찍 퇴근하기 - ChatGPT편,AI,성인,오프라인,"부산광역시 동구 초량중로 38, 3층",부산광역시 동구청 평생교육과,초급,
AI로 한시간 일찍 퇴근하기 ? Gemini 기초활용,AI,성인,오프라인,"부산광역시 동구 초량중로 38, 3층",부산광역시 동구청 평생교육과,초급,
취뽀하는 chat gpt 활용 자기소개서 작성법,취업능력,성인,오프라인,"부산광역시 동구 초량중로 38, 3층",부산광역시 동구청 평생교육과,중급,
AI 활용 리즈 시절 & 추억 영상 제작 과정,AI를 활용해 다양한 영상편집,지역주민+성인,오프라인,서울특별시 서초구 방배로 173,서울특별시 서초구 평생학습관,중급,https://www.seocho.go.kr/site/seocho/ex/lecture/List.do
캔바 & AI 활용 그래픽 디자인,온라인 캔바를 활용한 다양한 실습,지역주민+성인,오프라인,서울특별시 서초구 방배로 173,서울특별시 서초구 평생학습관,중급,https://www.seocho.go.kr/site/seocho/ex/lecture/List.do
AI와 함께<유튜브 크리에이터 도전기>,AI를 활용한 실질적인 영상 제작,지역주민+성인,오프라인,서울특별시 서초구 방배로 173,서울특별시 서초구 평생학습관,중급,https://www.seocho.go.kr/site/seocho/ex/lecture/List.do
[재능나눔]초보자를 위한 AI(chatGPT) 활용하기,AI 기초부터 활용까지 스마트폰과 교재로 배우는 과정,성인(영등포구민 우선),오프라인,서울특별시 영등포구 도신로4길20,서울특별시 영등포구 미래교육과,초급,https://www.ydp.go.kr
AI 활용력 키우기: 챗GPT 제대로 쓰는 법,chatGPT 활용 방법,성인(영등포구민 우선),오프라인,서울특별시 영등포구 도신로4길20,서울특별시 영등포구 미래교육과,중급,https://www.ydp.go.kr
AI로 확장하는 그림책 세계,AI프로그램을 활용해서 우리 가족만의 그림책 만들기,자녀 및 부모(영등포구민 우선),오프라인,서울특별시 영등포구 도신로4길20,서울특별시 영등포구 미래교육과,중급,https://www.ydp.go.kr
AI로 완성하는 실전 콘텐츠 (심화),AI 도구를 활용한 콘텐츠 기획 및 고급 기능 활용하기,성인,오프라인,충청북도 청주시 서원구 충렬로19,충청북도교육도서관,고급,http://www.cbelib.go.kr
생성형 AI 콘텐츠 만들기(입문),"Gemini(제미나이)와 Canva 등(캔바)을 활용해 카드뉴스, 포스터 등 생활 콘텐츠 만들기",성인,오프라인,충청북도 청주시 서원구 충렬로19,충청북도교육도서관,중급,http://www.cbelib.go.kr
일상 속 디지털 윤리교육 및 AI알아보기,디지털 윤리교육 및 올바른 AI사용법 알아보기,성인,오프라인,충청북도 청주시 서원구 충렬로19,충청북도교육도서관,초급,http://www.cbelib.go.kr
(어르신/단기)AI와 친해지는 스마트폰 생활,생활에 도움이 되는 다양한 스마트폰 앱 및 AI 활용법 익히기,성인,오프라인,"인천광역시 남동구 정각로9(구월동, 인천광역시 교육청)",인천광역시교육청중앙도서관,초급,http://lib.ice.go.kr/jungang/index.do
(성인)Canva AI앱 활용과 동영상 제작,챗GPT와 Canva 활용?스마트폰으로 영상 기획부터?제작까지~?쉽고 재미있게 따라하기,성인,오프라인,"인천광역시 남동구 정각로9(구월동, 인천광역시 교육청)",인천광역시교육청중앙도서관,중급,http://lib.ice.go.kr/jungang/index.do
AI 드림팩토리,메이커,초등,오프라인,부산광역시 연제구 고분로191번길 16,부산광역시립연산도서관,초급,http://home.pen.go.kr/yeonsanlib
AI활용 나의 온라인 도서관,메이커,성인,오프라인,부산광역시 연제구 고분로191번길 16,부산광역시립연산도서관,중급,http://home.pen.go.kr/yeonsanlib
"AI와 인간의 공존, 인문학에서 답을 얻다",인문,성인,오프라인,부산광역시 연제구 고분로191번길 16,부산광역시립연산도서관,초급,http://home.pen.go.kr/yeonsanlib
"AI와 인간의 공존, 인문학에서 답을 얻다",AI 시대 필요한 인문지식 수업,성인,오프라인,부산광역시 사하구 승학로 247,부산광역시립사하도서관,초급,https://home.pen.go.kr/yeyak/edu/lib/selectEduList.do?srchRsSysId=sahalib&mi=14467
[화성시민대학] AI로 만드는 나만의 그림책(봉담),AI그림책,성인,오프라인,경기도 화성시 효행구 봉담읍 효행로 212,경기도 화성시청 평생학습과,중급,https://u-life.hscity.go.kr/edu/index.do
[화성시민대학] 디자인부터 AI 콘텐츠 제작까지: 캔바활용지도사 자격증 과정(봉담),캔바활용지도사,성인,오프라인,경기도 화성시 효행구 봉담읍 효행로 212,경기도 화성시청 평생학습과,중급,https://u-life.hscity.go.kr/edu/index.do
[화성시민대학] AI와 함께하는 슬기로운 자산관리(봉담),자산관리,성인,오프라인,경기도 화성시 효행구 봉담읍 효행로 212,경기도 화성시청 평생학습과,중급,https://u-life.hscity.go.kr/edu/index.do
[화성시민대학] 생성형 AI 융합지도사 자격증 과정(동탄),생성형AI융합지도사,성인,오프라인,경기도 화성시 동탄구 10용사로 343-14,경기도 화성시청 평생학습과,중급,https://u-life.hscity.go.kr/edu/index.do
[화성시민대학] AI와 함께하는 슬기로운 자산관리(동탄),자산관리,성인,오프라인,경기도 화성시 동탄구 10용사로 343-14,경기도 화성시청 평생학습과,중급,https://u-life.hscity.go.kr/edu/index.do
Chat GPT 활용법(스마트폰을 활용한),컴퓨터,성인,오프라인,경상남도 김해시 금관대로 910번길 52,경상남도 김해시,중급,
AI 면접의 이해와 퍼팩트 대비,직업능력교육 > 취업/면접,청도군민,온라인,경상북도 청도군 화양읍 청화로 70,경상북도 청도군청,중급,
지금은 AI시대_chatGPT 활용꿀팁,인문교양교육 > 생활교양,청도군민,온라인,경상북도 청도군 화양읍 청화로 70,경상북도 청도군청,중급,
AI콘텐츠 및 컴퓨터 활용,컴퓨터와 스마트폰의 다양한 활용능력 습득,지역주민,오프라인,경상북도 김천시 공단2길30-22,경상북도 김천시청,중급,http://gc.go.kr/welfare
AI활용교육,다양한 인공지능 도구의 원리와 기능 이해하고 활용하기,무주군민,오프라인,전북특별자치도 무주군 무주읍 한풍루로 326-36,전북특별자치도 무주군 평생교육원,중급,https://www.muju.go.kr/lifelongedu/main/main.do
스마트폰 영상 편집과 AI로 영상만들기,"스마트폰을 활용한 사진, 영상 촬영 방법과 영상 편집 앱으로 간단한 편집을 통해 나의 생각과 이야기를 영상으로 만들어보는 강의입니다. 또한, AI의 기초적인 활용법과 AI로 원하는 사진을 만들어볼 수 있는 강의입니다.",전체,오프라인,충청남도 청양군 청양읍 칠갑산로 8길 17,충청남도 청양군청,초급,https://www.cheongyang.go.kr/lll.do
캡컷으로 배우는 스마트폰 영상 편집과 AI,스마트폰 영상 편비 방법을 통해 나의 생각과 이야기를 직접 제작할 수 있는 강의,전체,오프라인,충청남도 청양군 청양읍 칠갑산로 8길 17,충청남도 청양군청,중급,https://www.cheongyang.go.kr/lll.do
AI활용 심화과정,챗 GPT의 이해 강의,지역주민,오프라인,경기도 김포시 김포한강1로 242(운양동),경기도 김포시청 교육청소년과,고급,https://gimpo.gseek.kr/
